NAME,PLACE,ADDR:CITY,ADDR:HOUSE,ADDR:FLATS,ADDR:POSTC,longitude,latitude
Nongkhlieh,village,,,,,92.62240000000,25.32050000000
Bhalukpong,town,,,,,92.64476000000,27.01153950000
Nowgong,county,,,,,92.66666700000,26.13333300000
Saipung,village,,,,,92.67735820000,25.31987060000
Kolasib,village,,,,,92.68308750000,24.22126990000
Nagaon,city,,,,,92.68581660000,26.34720940000
Moragang,village,,,,,92.71030000000,24.62200000000
Bikhawatlir,village,,,,,92.71120490000,24.33686030000
Chhimluang,village,,,,,92.71500000000,24.37730000000
Silkuri,village,,,,,92.72560000000,24.73110000000
Chardua,village,,,,,92.73370000000,26.85620000000
Katriatali,village,,,,,92.73940000000,26.18570000000
,village,,,,,92.74127100000,27.34275060000
Moulsei,village,,,,,92.74751290000,25.22905350000
Tumkrang,village,,,,,92.75890000000,25.53290000000
,village,,,,,92.76791220000,27.31504130000
MISSION CHARALI,locality,,,,,92.77268000000,26.65558000000
,village,,,,,92.77717320000,27.29347670000
Balipara,village,,,,,92.77994270000,26.82261390000
Tezpur,town,,,,,92.79102070000,26.62450820000
Silchar,city,,,,,92.79512830000,24.81982510000
Samaguri,village,,,,,92.84528320000,26.41932270000
KHUNAMUKH,locality,,,,,92.84546000000,26.80389000000
,village,,,,,92.85376700000,27.28499590000
Dabaka,village,,,,,92.86514330000,26.11380330000
,village,,,,,92.88040670000,27.28035420000
Seppa,village,,,,,92.88127330000,27.27957060000
Udarbard,village,,,,,92.88930000000,24.95950000000
Cāchār,county,,,,,92.91666700000,25.08333300000
Sonaimukh,village,,,,,92.92430000000,24.71870000000
Silghat,village,,,,,92.92640150000,26.60020110000
Samenkro,village,,,,,92.92700000000,25.80870000000
Kaliabor,village,,,,,92.92920610000,26.53871460000
Jamugurihat,village,,,,,92.93082600000,26.72303720000
Kuwarital,village,,,,,92.94169170000,26.55543560000
Misa,village,,,,,92.94721030000,26.48786520000
Paianghat,village,,,,,92.95060000000,24.59230000000
,hamlet,,,,,92.95190490000,27.29869560000
Lankapatti,village,,,,,92.95277620000,25.91421260000
Parkhowa Bazaar,village,,,,,92.95910920000,26.19329530000
Kumbhir,village,,,,,92.96430000000,25.00700000000
